编号	专业分类	年级	性别	Q1	Q2	Q3	Q4	Q5	Q61	Q62	Q63	Q64	Q65	Q66	Q67	Q68	Q69	Q610	Q611	Q612	Q613	Q614	Q615	Q616
211	1	3	1	1	1	2	1	5	3	3	2	3	2	1	2	2	2	2	4	3	4	4	5	2
212	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	2	2	2	4	4	4	4	4	4
213	4	3	1	1	1	2	1	3	3	3	2	3	2	1	2	2	2	2	4	3	3	4	4	2
214	2	3	1	1	1	1	1	3	3	3	2	3	2	1	2	4	2	2	4	3	5	5	4	3
215	1	3	1	1	1	2	1	3	3	3	2	3	2	1	2	5	2	2	4	4	2	4	4	2
216	1	3	1	1	1	2	1	1	3	3	2	3	2	1	2	1	2	2	5	5	3	3	5	3
217	1	3	1	1	1	2	1	3	3	3	2	3	2	1	2	4	2	2	4	2	4	4	5	0
218	4	3	1	1	1	2	1	3	3	3	2	3	2	1	2	5	2	2	2	4	2	3	4	3
219	5	3	1	1	1	1	1	5	3	3	2	3	2	1	2	5	2	2	5	5	3	3	5	3
220	5	3	1	1	1	2	1	3	3	3	2	3	2	1	2	4	2	2	4	5	3	3	4	2
221	1	3	1	1	1	1	1	2	3	3	2	3	2	1	2	3	2	2	4	4	2	2	4	2
222	2	3	1	1	1	1	1	3	3	3	2	3	2	1	2	1	2	2	4	3	3	3	5	3
223	2	3	1	1	1	1	1	3	3	3	2	3	2	1	2	1	2	2	5	1	1	5	5	1
224	2	3	1	1	1	2	1	2	3	3	2	3	2	1	2	5	2	2	5	4	3	3	4	3
225	4	3	1	1	1	1	1	3	3	3	2	3	2	1	2	3	2	2	2	2	4	4	4	4
226	4	3	1	1	1	2	1	5	3	3	2	3	2	1	2	2	2	2	3	4	4	4	4	4
227	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	1	2	2	5	1	5	4	5	5
228	2	3	1	1	1	2	1	3	3	3	2	3	2	1	2	3	2	2	4	3	2	2	4	4
229	4	3	1	1	1	3	1	2	3	3	2	3	2	1	2	3	2	2	5	3	1	3	5	2
230	1	3	1	1	1	2	1	2	3	3	2	3	2	1	2	3	2	2	4	2	3	3	4	3
231	2	3	1	1	1	1	1	1	3	3	2	3	2	1	2	4	2	2	3	3	3	3	4	3
232	6	3	1	1	1	2	1	3	3	3	2	3	2	1	2	3	2	2	4	3	2	3	4	2
233	4	3	1	1	1	2	1	2	3	3	2	3	2	1	2	2	2	2	5	3	3	3	5	1
234	4	3	1	1	1	2	1	4	3	3	2	3	2	1	2	 	2	2	1	1	1	1	 	1
